Nathan Cottrell,FA,3917812,RB,1,2021,a,False,0.3,FA
Daniel Jones,FA,3917792,QB,1,2021,a,False,167.02,FA
Olamide Zaccheaus,FA,3917914,WR,1,2021,a,False,74.3,FA
Brandon Allen,FA,2574511,QB,1,2021,a,False,13.86,FA
Brycen Hopkins,FA,3918003,TE,1,2021,a,False,1.4,FA
Dan Arnold,FA,4212989,TE,1,2021,a,False,58.3,FA
C.J. Uzomah,FA,2574576,TE,1,2021,a,False,103.8,FA
Gary Brightwell,FA,4245645,RB,1,2021,a,False,1.5,FA
Alex Armah,FA,4212884,RB,1,2021,a,False,8.7,FA
Nick Boyle,FA,2574591,TE,1,2021,a,False,0.7,FA
Anthony Firkser,FA,3049698,TE,1,2021,a,False,56.1,FA
Cam Sims,FA,3115314,WR,1,2021,a,False,41.3,FA
Josh Reynolds,FA,3115306,WR,1,2021,a,False,66.1,FA
Kyle Allen,FA,3115293,QB,1,2021,a,False,7.9,FA
Darrel Williams,FA,3115375,RB,1,2021,a,False,172.5,FA
Jakob Johnson,FA,3115349,RB,1,2021,a,False,6.3,FA
Ethan Wolf,FA,3115360,TE,1,2021,a,False,1.8,FA
Daniel Helm,FA,3115359,TE,1,2021,a,False,0.4,FA
Cody Hollister,FA,3115443,WR,1,2021,a,False,5.3,FA
Matt Breida,FA,3049916,RB,1,2021,a,False,39.2,FA
Tommylee Lewis,FA,2574918,WR,1,2021,a,False,1.2,FA
Rashod Bateman,FA,4360939,WR,1,2021,a,False,80.5,FA
Gerald Everett,FA,3918639,TE,1,2021,a,False,93.8,FA
Malik Turner,FA,3115928,WR,1,2021,a,False,38.9,FA
Anthony Miller,FA,3050487,WR,1,2021,a,False,11.5,FA
Rodney Smith,FA,3116074,RB,1,2021,a,False,7.3,FA
Jason Cabinda,FA,3116158,RB,1,2021,a,False,11.9,FA
Zach Wilson,FA,4361259,QB,1,2021,a,False,151.86,FA
Justin Jackson,FA,3116136,RB,1,2021,a,False,75.2,FA
David Blough,FA,3116188,QB,1,2021,a,False,0.6,FA
Dyami Brown,FA,4361577,WR,1,2021,a,False,22.1,FA
Mason Rudolph,FA,3116407,QB,1,2021,a,False,18.38,FA
Samaje Perine,FA,3116389,RB,1,2021,a,False,69.7,FA
Quez Watkins,FA,4050373,WR,1,2021,a,False,94.5,FA
Jauan Jennings,FA,3886598,WR,1,2021,a,False,70.2,FA
Elijhaa Penny,FA,2575965,RB,1,2021,a,False,31.4,FA
Reggie Bonnafon,FA,3116642,RB,1,2021,a,False,2.6,FA
Jaylen Samuels,FA,3116721,RB,1,2021,a,False,3.8,FA
P.J. Walker,FA,3051308,QB,1,2021,a,False,13.78,FA
Mike White,FA,3051381,QB,1,2021,a,False,44.02,FA
Deonte Harris,FA,4411193,WR,1,2021,a,False,95.1,FA
Boston Scott,FA,3051439,RB,1,2021,a,False,92.1,FA
Dwayne Washington,FA,3002265,RB,1,2021,a,False,3.8,FA
Ameer Abdullah,FA,2576336,RB,1,2021,a,False,70.5,FA
Derek Watt,FA,2576450,RB,1,2021,a,False,3.1,FA
Nick Vannett,FA,2576399,TE,1,2021,a,False,23.8,FA
Adam Humphries,FA,2576491,WR,1,2021,a,False,58.8,FA
Jaret Patterson,FA,4362452,RB,1,2021,a,False,50.9,FA
Dalton Schultz,FA,3117256,TE,1,2021,a,False,169.8,FA
Chris Moore,FA,2576581,WR,1,2021,a,False,45.2,FA
Brevin Jordan,FA,4362504,TE,1,2021,a,False,45.8,FA
Trevor Siemian,FA,2511109,QB,1,2021,a,False,90.16,FA
Marquez Valdes-Scantling,FA,3051738,WR,1,2021,a,False,74.0,FA
Shane Zylstra,FA,4608362,TE,1,2021,a,False,4.9,FA
Jack Stoll,FA,4034862,TE,1,2021,a,False,4.2,FA
Terrace Marshall Jr.,FA,4362630,WR,1,2021,a,False,24.3,FA
Ricky Seals-Jones,FA,3051806,TE,1,2021,a,False,54.1,FA
La'Mical Perine,FA,4034952,RB,1,2021,a,False,3.1,FA
Freddie Swain,FA,4034950,WR,1,2021,a,False,74.0,FA
Laquon Treadwell,FA,3051889,WR,1,2021,a,False,65.9,FA
David Sills V,FA,3871102,WR,1,2021,a,False,2.7,FA
Adam Shaheen,FA,4198676,TE,1,2021,a,False,17.0,FA
Peyton Barber,FA,3051902,RB,1,2021,a,False,44.9,FA
Jamison Crowder,FA,2576716,WR,1,2021,a,False,84.2,FA
Duke Johnson,FA,2969962,RB,1,2021,a,False,57.1,FA
Evan Engram,FA,3051876,TE,1,2021,a,False,79.5,FA
Benny Snell Jr.,FA,4035072,RB,1,2021,a,False,12.1,FA
Stephen Anderson,FA,2576854,TE,1,2021,a,False,30.5,FA
Charlie Woerner,FA,4035020,TE,1,2021,a,False,7.7,FA
Johnny Mundt,FA,3052096,TE,1,2021,a,False,1.4,FA
Albert Okwuegbunam,FA,4035115,TE,1,2021,a,False,59.5,FA
Damarea Crockett,FA,4035102,RB,1,2021,a,False,0.7,FA
Scottie Phillips,FA,4362878,RB,1,2021,a,False,3.2,FA
Darrell Daniels,FA,3052166,TE,1,2021,a,False,0.5,FA
Marcus Mariota,FA,2576980,QB,1,2021,a,False,14.86,FA
John Ross,FA,3052177,WR,1,2021,a,False,35.5,FA
Trayveon Williams,FA,4035222,RB,1,2021,a,False,6.0,FA
Ty Montgomery,FA,2577134,WR,1,2021,a,False,21.9,FA
Jake Kumerow,FA,3085107,WR,1,2021,a,False,3.8,FA
Mekhi Sargent,FA,4379504,RB,1,2021,a,False,1.1,FA
Denzel Mims,FA,4035403,WR,1,2021,a,False,17.3,FA
Tim Patrick,FA,3134353,WR,1,2021,a,False,129.9,FA
Kene Nwangwu,FA,4035537,RB,1,2021,a,False,9.0,FA
Ben Skowronek,FA,4035656,WR,1,2021,a,False,18.8,FA
Gabe Nabers,FA,4035611,RB,1,2021,a,False,4.0,FA
Tyler Huntley,FA,4035671,QB,1,2021,a,False,82.64,FA
Maxx Williams,FA,2970726,TE,1,2021,a,False,33.3,FA
Eric Tomlinson,FA,2511973,TE,1,2021,a,False,1.2,FA
Demetric Felton,FA,4035826,RB,1,2021,a,False,41.5,FA
Damiere Byrd,FA,2577667,WR,1,2021,a,False,51.9,FA
Jakeem Grant Sr.,FA,2577641,WR,1,2021,a,False,28.0,FA
Quintez Cephus,FA,4035793,WR,1,2021,a,False,41.9,FA
Khalil Herbert,FA,4035886,RB,1,2021,a,False,71.9,FA
Durham Smythe,FA,3052897,TE,1,2021,a,False,53.0,FA
Garrett Griffin,FA,2987440,TE,1,2021,a,False,5.9,FA
Dez Fitzpatrick,FA,4036026,WR,1,2021,a,False,13.4,FA
Ben Roethlisberger,FA,5536,QB,1,2021,a,False,218.1,FA
Tommy Hudson,FA,3675550,TE,1,2021,a,False,4.6,FA
Maurice Ffrench,FA,4036055,WR,1,2021,a,False,0.3,FA
D.J. Montgomery,FA,4249030,WR,1,2021,a,False,5.1,FA
Dominique Dafney,FA,4036129,TE,1,2021,a,False,4.4,FA
Jake Funk,FA,4036224,RB,1,2021,a,False,0.5,FA
Sean McKeon,FA,4036275,TE,1,2021,a,False,10.7,FA
Auden Tate,FA,3921564,WR,1,2021,a,False,11.4,FA
Pharaoh Brown,FA,2971281,TE,1,2021,a,False,26.6,FA
Cedrick Wilson,FA,4036335,WR,1,2021,a,False,125.32,FA
Byron Pringle,FA,4036416,WR,1,2021,a,False,105.8,FA
Jordan Love,FA,4036378,QB,1,2021,a,False,21.14,FA
Josh Oliver,FA,3921690,TE,1,2021,a,False,11.1,FA
Hunter Renfrow,FA,3135321,WR,1,2021,a,False,207.6,FA
Darrynton Evans,FA,4036431,RB,1,2021,a,False,2.8,FA
Marvin Hall,FA,2578369,WR,1,2021,a,False,1.5,FA
Marcus Johnson,FA,2971718,WR,1,2021,a,False,20.3,FA
Jacoby Brissett,FA,2578570,QB,1,2021,a,False,72.32,FA
Chris Conley,FA,2578533,WR,1,2021,a,False,53.6,FA
JaQuan Hardy,FA,4069817,RB,1,2021,a,False,8.9,FA
Jalen Richard,FA,2972091,RB,1,2021,a,False,17.2,FA
Jason Moore,FA,4069806,WR,1,2021,a,False,7.1,FA
Jacques Patrick,FA,3693033,RB,1,2021,a,False,1.2,FA
Cyril Grayson,FA,4217370,WR,1,2021,a,False,39.6,FA
Greg Dortch,FA,4037235,WR,1,2021,a,False,5.4,FA
Nathan Peterman,FA,2972236,QB,1,2021,a,False,0.2,FA
Breshad Perriman,FA,2972460,WR,1,2021,a,False,27.9,FA
Cooper Rush,FA,2972515,QB,1,2021,a,False,24.08,FA
Travis Homer,FA,4037457,RB,1,2021,a,False,47.8,FA
Dezmon Patmon,FA,4054085,WR,1,2021,a,False,9.1,FA
Ross Dwelley,FA,3120303,TE,1,2021,a,False,13.1,FA
Phillip Dorsett II,FA,2579604,WR,1,2021,a,False,14.5,FA
Blake Bell,FA,2514206,TE,1,2021,a,False,14.2,FA
Ryquell Armstead,FA,3923397,RB,1,2021,a,False,11.1,FA
Mitchell Wilcox,FA,3923392,TE,1,2021,a,False,3.1,FA
Keelan Cole,FA,3071572,WR,1,2021,a,False,64.9,FA
DeAndre Carter,FA,2580216,WR,1,2021,a,False,68.5,FA
Kalif Raymond,FA,2973405,WR,1,2021,a,False,108.4,FA
Gardner Minshew,FA,4038524,QB,1,2021,a,False,33.66,FA
C.J. Board,FA,2973626,WR,1,2021,a,False,7.7,FA
Chris Manhertz,FA,2531358,TE,1,2021,a,False,16.1,FA
Bryan Edwards,FA,4038818,WR,1,2021,a,False,92.1,FA
Noah Brown,FA,3121409,WR,1,2021,a,False,26.4,FA
Jesper Horsted,FA,3940587,TE,1,2021,a,False,15.1,FA
Michael Burton,FA,2515270,RB,1,2021,a,False,13.2,FA
Devin Duvernay,FA,4039050,WR,1,2021,a,False,60.7,FA
Collin Johnson,FA,4039043,WR,1,2021,a,False,16.0,FA
Drew Lock,FA,3924327,QB,1,2021,a,False,51.38,FA
Hayden Hurst,FA,3924365,TE,1,2021,a,False,51.1,FA
Lil'Jordan Humphrey,FA,4039057,WR,1,2021,a,False,43.4,FA
Kylen Granson,FA,4039160,TE,1,2021,a,False,16.1,FA
Mitchell Trubisky,FA,3039707,QB,1,2021,a,False,8.12,FA
Andy Janovich,FA,2974317,RB,1,2021,a,False,8.4,FA
Jonathan Ward,FA,4039274,RB,1,2021,a,False,8.2,FA
Trevon Wesco,FA,4039253,RB,1,2021,a,False,5.0,FA
Patrick Taylor,FA,4039358,RB,1,2021,a,False,16.2,FA
Greg Ward,FA,3040035,WR,1,2021,a,False,31.08,FA
Ray-Ray McCloud,FA,3728262,WR,1,2021,a,False,46.7,FA
Reggie Gilliam,FA,4039505,RB,1,2021,a,False,4.1,FA
Kendall Blanton,FA,3122103,TE,1,2021,a,False,5.7,FA
J.J. Taylor,FA,4039607,RB,1,2021,a,False,16.5,FA
Trent Sherfield,FA,3122168,WR,1,2021,a,False,19.2,FA
Chris Streveler,FA,3040206,QB,1,2021,a,False,2.04,FA
Chris Myarick,FA,3138744,TE,1,2021,a,False,9.2,FA
Johnny Stanton,FA,3040499,RB,1,2021,a,False,8.2,FA
Cethan Carter,FA,3040470,TE,1,2021,a,False,2.6,FA
Trent Taylor,FA,3040569,WR,1,2021,a,False,5.1,FA
James Washington,FA,3122449,WR,1,2021,a,False,53.8,FA
Derrick Gore,FA,3925346,RB,1,2021,a,False,52.1,FA
Marcedes Lewis,FA,9614,TE,1,2021,a,False,32.9,FA
Royce Freeman,FA,3122672,RB,1,2021,a,False,29.6,FA
Mike Boone,FA,3139033,RB,1,2021,a,False,6.7,FA
Mack Hollins,FA,2991662,WR,1,2021,a,False,53.3,FA
Buddy Howell,FA,3122716,RB,1,2021,a,False,1.1,FA
Tommy Sweeney,FA,3122818,TE,1,2021,a,False,14.9,FA
Patrick Ricard,FA,2975417,RB,1,2021,a,False,16.7,FA
Devontae Booker,FA,3122866,RB,1,2021,a,False,124.1,FA
Blake Jarwin,FA,2991767,TE,1,2021,a,False,27.1,FA
Dede Westbrook,FA,3892889,WR,1,2021,a,False,11.8,FA
Jeff Wilson Jr.,FA,3122976,RB,1,2021,a,False,48.0,FA
David Njoku,FA,3123076,TE,1,2021,a,False,89.6,FA
Braxton Berrios,FA,3123075,WR,1,2021,a,False,92.1,FA
Tyler Kroft,FA,2582410,TE,1,2021,a,False,31.3,FA
Cameron Batson,FA,3139456,WR,1,2021,a,False,10.0,FA
Taylor Heinicke,FA,2565969,QB,1,2021,a,False,222.36,FA
Foster Moreau,FA,3843945,TE,1,2021,a,False,70.3,FA
Chris Herndon,FA,3123050,TE,1,2021,a,False,12.0,FA
C.J. Saunders,FA,4040627,WR,1,2021,a,False,2.1,FA
Luke Farrell,FA,4040612,TE,1,2021,a,False,9.1,FA
Harrison Bryant,FA,4040774,TE,1,2021,a,False,51.8,FA
Marlon Mack,FA,3139605,RB,1,2021,a,False,11.9,FA
Sean Mannion,FA,2517017,QB,1,2021,a,False,12.96,FA
D'Ernest Johnson,FA,3139602,RB,1,2021,a,False,94.6,FA
Trey Ragas,FA,4040728,RB,1,2021,a,False,2.5,FA
Eric Saubert,FA,2975863,TE,1,2021,a,False,14.7,FA
Jason Huntley,FA,4040790,RB,1,2021,a,False,5.1,FA
Adrian Peterson,FA,10452,RB,1,2021,a,False,24.6,FA
Rashaad Penny,FA,3139925,RB,1,2021,a,False,118.7,FA
Kristian Wilkerson,FA,3910176,WR,1,2021,a,False,18.2,FA
Austin Walter,FA,3123857,RB,1,2021,a,False,18.0,FA
Taysom Hill,FA,2468609,QB,1,2021,a,False,119.72,FA
Ito Smith,FA,3123969,RB,1,2021,a,False,6.4,FA
Qadree Ollison,FA,3123944,RB,1,2021,a,False,17.7,FA
Mike Thomas,FA,3123986,WR,1,2021,a,False,7.7,FA
Isaiah Ford,FA,3124069,WR,1,2021,a,False,34.1,FA
Joshua Kelley,FA,3910544,RB,1,2021,a,False,14.5,FA
Matt Ryan,FA,11237,QB,1,2021,a,False,222.92,FA
Joe Flacco,FA,11252,QB,1,2021,a,False,23.82,FA
DeSean Jackson,FA,11283,WR,1,2021,a,False,65.8,FA
Chad Henne,FA,11291,QB,1,2021,a,False,3.28,FA
Kevin White,FA,3042435,WR,1,2021,a,False,4.3,FA
Wendell Smallwood,FA,3042429,RB,1,2021,a,False,6.7,FA
Josh Johnson,FA,11394,QB,1,2021,a,False,46.32,FA
Danny Amendola,FA,11674,WR,1,2021,a,False,56.8,FA
Tyron Johnson,FA,3894912,WR,1,2021,a,False,2.6,FA
Rashard Higgins,FA,3042910,WR,1,2021,a,False,45.5,FA
O.J. Howard,FA,3043080,TE,1,2021,a,False,26.5,FA
Demarcus Robinson,FA,3043116,WR,1,2021,a,False,56.9,FA
D'Onta Foreman,FA,3125116,RB,1,2021,a,False,89.4,FA
Nick Bawden,FA,3125232,RB,1,2021,a,False,2.5,FA
Alex Erickson,FA,2977800,WR,1,2021,a,False,7.0,FA
Zay Jones,FA,3059722,WR,1,2021,a,False,82.4,FA
Daniel Brown,FA,2519013,TE,1,2021,a,False,3.9,FA
Deon Yelder,FA,3059766,TE,1,2021,a,False,0.5,FA
Adam Trautman,FA,3911853,TE,1,2021,a,False,49.8,FA
Brian Hoyer,FA,12477,QB,1,2021,a,False,12.28,FA
Jacob Hollister,FA,3125404,TE,1,2021,a,False,16.0,FA
Dee Eskridge,FA,4043016,WR,1,2021,a,False,23.3,FA
Jared Cook,FA,12537,TE,1,2021,a,False,108.4,FA
Jordan Howard,FA,3060022,RB,1,2021,a,False,61.5,FA
Zach Pascal,FA,2978109,WR,1,2021,a,False,75.5,FA
Nick Mullens,FA,3059989,QB,1,2021,a,False,9.88,FA
Donald Parham Jr.,FA,3912092,TE,1,2021,a,False,49.0,FA
Antoine Wesley,FA,4043161,WR,1,2021,a,False,48.3,FA
Jaydon Mickens,FA,2978308,WR,1,2021,a,False,2.0,FA
Christian Kirk,FA,3895856,WR,1,2021,a,False,169.12,FA
Amari Rodgers,FA,4239992,WR,1,2021,a,False,7.6,FA
Hunter Long,FA,4239944,TE,1,2021,a,False,1.3,FA
Christian Blake,FA,3126002,WR,1,2021,a,False,4.5,FA
Cam Akers,FA,4240021,RB,1,2021,a,False,2.8,FA
Tre' McKitty,FA,4240023,TE,1,2021,a,False,7.5,FA
JaMycal Hasty,FA,3928925,RB,1,2021,a,False,38.0,FA
Colt McCoy,FA,13199,QB,1,2021,a,False,41.3,FA
Andre Roberts,FA,13226,WR,1,2021,a,False,1.9,FA
Jimmy Graham,FA,13232,TE,1,2021,a,False,43.7,FA
KJ Hamler,FA,4240380,WR,1,2021,a,False,9.9,FA
Emmanuel Sanders,FA,13295,WR,1,2021,a,False,110.7,FA
Dontrell Hilliard,FA,3126246,RB,1,2021,a,False,63.2,FA
Noah Gray,FA,4240472,TE,1,2021,a,False,13.1,FA
Jeff Smith,FA,3929118,WR,1,2021,a,False,15.2,FA
Deon Jackson,FA,4240455,RB,1,2021,a,False,9.1,FA
Stanley Morgan,FA,3699902,WR,1,2021,a,False,2.4,FA
Kadarius Toney,FA,4240600,WR,1,2021,a,False,62.86,FA
DeeJay Dallas,FA,4240631,RB,1,2021,a,False,49.6,FA
Devine Ozigbo,FA,3699935,RB,1,2021,a,False,0.9,FA
Ihmir Smith-Marsette,FA,4240573,WR,1,2021,a,False,26.1,FA
Kenneth Gainwell,FA,4371733,RB,1,2021,a,False,106.9,FA
Dazz Newsome,FA,4240661,WR,1,2021,a,False,3.3,FA
Kenny Yeboah,FA,4044144,TE,1,2021,a,False,4.6,FA
Jake Fromm,FA,4240689,QB,1,2021,a,False,10.9,FA
Seth Williams,FA,4371974,WR,1,2021,a,False,3.9,FA
Kellen Mond,FA,4240904,QB,1,2021,a,False,0.2,FA
Juwan Johnson,FA,3929645,TE,1,2021,a,False,46.4,FA
Anthony Schwartz,FA,4371986,WR,1,2021,a,False,28.4,FA
