2020 None Fantasy Football Stats
Overall Standings,Wins,Losses,Weekly Winner,Weekly Loser
Karl,86,40,1,0
Ryan,76,50,2,2
Aaron,74,52,2,0
Dan,74,52,2,0
Brian,64,62,2,1
Joey,64,62,0,1
Zach,63,63,2,1
Colin,51,75,2,3
Ron,40,86,1,4
Cedric,38,88,0,2

Yearly & Historical League Stats,Record,Owner/Week,Overall Record
Weeks with Most Points,2, Brian & Colin & Ryan & Dan & Aaron & Zach,League Record: 2022 - 5 (Aaron)
Weeks with Least Points,4, Ron,League Record: 2022 - 5 (Ryan)
Team Most Points (week),189.58,Colin (Week 6),League Record: 2022 - 208.8 (Week 9: Zach)
Team Least Points (week),79.54,Brian (Week 12),League Record: 2022 - 76.62 (Week 5: Zach)
Closest Game,114.22 vs 113.58,Aaron vs Zach (Week 11),League Record: 2021 - 108.6 vs 109.14 (Week 4: Zach vs Dan)
Biggest Blowout,96.32 vs 189.58,Brian vs Colin (Week 6),League Record: 2021 - 77.6 vs 198.76 (Week 5: Ron vs Karl)
Most Points in a Loss,157.4,Brian (Week 3),League Record: 2021 - 167.06 ( Week 5: Alex)
Least Points in a Win,89.9,Ryan (Week 10),LEAGUE RECORD!!
Most Weeks > 150,4,Aaron,League Record: 2021 - 6 (Aaron)
Most Weeks > 100,5,Colin & Ron & Cedric,League Record: 2022 - 7 (Ryan)
Most Trades,10,Zach & Aaron,League Record: 2021 - 11 (Zach)
Most Weekly Points (League),1310.52,Week 2,League Record: 2021 - 1402.8 (Week: 5)
Least Weekly Points (League),1038.96,Week 10,LEAGUE RECORD!!

Optimal Drafted Team - 2764.2pts / $196,Player,Score,Draft Cost
QB,Josh Allen,395.6,13
QB,Aaron Rodgers,382.8,7
RB,Derek Henry,323.6,59
RB,Dalvin Cook,315.8,63
WR,Tyreek Hill,285.4,38
WR,Stefon Diggs,265.1,5
TE,Darren Waller,225.1,6
Flex,David Montgomery,237.8,3
K,Jason Sanders,172.0,1
D/ST,Rams D/ST,161.0,1

Optimal FA Team - 2075.2 pts
QB,Ryan Tannehill,343.86
QB,Justin Herbert,332.84
RB,James Robinson,225.9
RB,Mike Davis,177.0
WR,Chase Claypool,183.9
WR,Cole Beasley,166.5
TE,Robert Tonyan,150.6
Flex,Nelson Agholor,161.6
K,Jason Sanders,172.0
D/ST,Rams D/ST,161.0
